ImgID;Detector;Descriptor;TTCLidar(s);TTCCamera(s);Xmin(m)
;;;;;
1;SHITOMASI;BRIEF;12.9722;14.0747;7.913
2;SHITOMASI;BRIEF;12.264;13.8102;7.849
3;SHITOMASI;BRIEF;13.9161;11.712;7.793
4;SHITOMASI;BRIEF;7.11572;13.6007;7.685
5;SHITOMASI;BRIEF;16.2511;12.3;7.638
6;SHITOMASI;BRIEF;12.4213;13.2703;7.577
7;SHITOMASI;BRIEF;34.3404;21.3301;7.555
8;SHITOMASI;BRIEF;9.34376;12.5199;7.475
9;SHITOMASI;BRIEF;18.1318;11.6077;7.434
10;SHITOMASI;BRIEF;18.0318;13.6717;7.393
11;SHITOMASI;BRIEF;3.83244;11.7805;7.205
12;SHITOMASI;BRIEF;-10.8537;11.7604;7.272
13;SHITOMASI;BRIEF;9.22307;11.7506;7.194
14;SHITOMASI;BRIEF;10.9678;11.6524;7.129
15;SHITOMASI;BRIEF;8.09422;11.2953;7.042
16;SHITOMASI;BRIEF;3.17535;11.5174;6.827
17;SHITOMASI;BRIEF;-9.99424;11.1869;6.896
18;SHITOMASI;BRIEF;8.30978;7.96101;6.814
;;;;;
1;SHITOMASI;ORB;12.9722;14.2952;7.913
2;SHITOMASI;ORB;12.264;12.439;7.849
3;SHITOMASI;ORB;13.9161;12.2131;7.793
4;SHITOMASI;ORB;7.11572;12.8595;7.685
5;SHITOMASI;ORB;16.2511;12.1368;7.638
6;SHITOMASI;ORB;12.4213;13.6733;7.577
7;SHITOMASI;ORB;34.3404;11.9741;7.555
8;SHITOMASI;ORB;9.34376;12.3793;7.475
9;SHITOMASI;ORB;18.1318;11.3267;7.434
10;SHITOMASI;ORB;18.0318;13.6447;7.393
11;SHITOMASI;ORB;3.83244;11.3027;7.205
12;SHITOMASI;ORB;-10.8537;11.3196;7.272
13;SHITOMASI;ORB;9.22307;12.3765;7.194
14;SHITOMASI;ORB;10.9678;11.5476;7.129
15;SHITOMASI;ORB;8.09422;10.4388;7.042
16;SHITOMASI;ORB;3.17535;11.6681;6.827
17;SHITOMASI;ORB;-9.99424;9.69202;6.896
18;SHITOMASI;ORB;8.30978;7.60063;6.814
;;;;;
1;SHITOMASI;FREAK;12.9722;13.6733;7.913
2;SHITOMASI;FREAK;12.264;13.4468;7.849
3;SHITOMASI;FREAK;13.9161;11.4627;7.793
4;SHITOMASI;FREAK;7.11572;12.561;7.685
5;SHITOMASI;FREAK;16.2511;12.6318;7.638
6;SHITOMASI;FREAK;12.4213;15.1537;7.577
7;SHITOMASI;FREAK;34.3404;13.3422;7.555
8;SHITOMASI;FREAK;9.34376;12.9348;7.475
9;SHITOMASI;FREAK;18.1318;12.1911;7.434
10;SHITOMASI;FREAK;18.0318;13.1951;7.393
